,Sentence,subject,predicate,arguments,tokens
5632,"Anyway, I tried to get a preorder but no places were selling it so I missed out on 2/3 weekend events.",['i no places i'],['tried get selling missed'],['a preorder it'],"['Anyway', ',', 'I', 'tried', 'to', 'get', 'a', 'preorder', 'but', 'no', 'places', 'were', 'selling', 'it', 'so', 'I', 'missed', 'out', 'on', '2/3', 'weekend', 'events', '.']"
5633,"Oh well, I'll get it when it comes out in Febuary.",['i it'],['get comes'],['it'],"['Oh', 'well', ',', 'I', ""'ll"", 'get', 'it', 'when', 'it', 'comes', 'out', 'in', 'Febuary', '.']"
5634,rumor has feb 05 on the calender.,['rumor'],[''],['05'],"['rumor', 'has', 'feb', '05', 'on', 'the', 'calender', '.']"
5635,BUT they stated that they will take as long as it takes to work out all the bugs so who really know how long.,['they they it who'],['stated take takes work know'],['all the bugs'],"['BUT', 'they', 'stated', 'that', 'they', 'will', 'take', 'as', 'long', 'as', 'it', 'takes', 'to', 'work', 'out', 'all', 'the', 'bugs', 'so', 'who', 'really', 'know', 'how', 'long', '.']"
5636,as far as pre order go to and they have a list of major retailers that carry it there are also a few websites that you could order it off of.,['pre order they that there you'],['go have carry are order'],['a list of it a few websites order it'],"['as', 'far', 'as', 'pre', 'order', 'go', 'to', 'and', 'they', 'have', 'a', 'list', 'of', 'major', 'retailers', 'that', 'carry', 'it', 'there', 'are', 'also', 'a', 'few', 'websites', 'that', 'you', 'could', 'order', 'it', 'off', 'of', '.']"
5637,and a good reason for starting this group....company firewalls lol ;),['a good reason for company'],['starting firewalls'],['this group lol'],"['and', 'a', 'good', 'reason', 'for', 'starting', 'this', 'group', '....', 'company', 'firewalls', 'lol', ';)']"
5638,"I was kind of curious, what exactly is Guild Wars?",['i guild wars'],[''],['what exactly'],"['I', 'was', 'kind', 'of', 'curious', ',', 'what', 'exactly', 'is', 'Guild', 'Wars', '?']"
5639,I havn't heard of it.,"[""i havn't""]",['heard'],[''],"['I', ""havn't"", 'heard', 'of', 'it', '.']"
5640,Check out the Guild Wars Web site at for more info about the game.,[''],['check'],['the wars web site'],"['Check', 'out', 'the', 'Guild', 'Wars', 'Web', 'site', 'at', 'for', 'more', 'info', 'about', 'the', 'game', '.']"
5641,It's a massive multiplayer role playing game.,['it'],[''],['a massive playing game'],"['It', ""'s"", 'a', 'massive', 'multiplayer', 'role', 'playing', 'game', '.']"
5642,The graphics are without a doubt the amoung the best graphics I have ever seen for any game and I have been gaming since the MUD days.,['the graphics i i'],['seen gaming'],['the amoung the best graphics seen'],"['The', 'graphics', 'are', 'without', 'a', 'doubt', 'the', 'amoung', 'the', 'best', 'graphics', 'I', 'have', 'ever', 'seen', 'for', 'any', 'game', 'and', 'I', 'have', 'been', 'gaming', 'since', 'the', 'MUD', 'days', '.']"
5643,It's worth a look.,['it'],[''],[''],"['It', ""'s"", 'worth', 'a', 'look', '.']"
5644,I have a preorder and am even considering getting a second preorder to have multiple accounts.,['i'],['have considering getting'],['a preorder a second preorder have multiple accounts'],"['I', 'have', 'a', 'preorder', 'and', 'am', 'even', 'considering', 'getting', 'a', 'second', 'preorder', 'to', 'have', 'multiple', 'accounts', '.']"
5645,I have participated in all the weekend beta events and the world preview.,['i'],['participated'],['beta events and preview'],"['I', 'have', 'participated', 'in', 'all', 'the', 'weekend', 'beta', 'events', 'and', 'the', 'world', 'preview', '.']"
5646,The game is already 100% functional.,['the game'],[''],[''],"['The', 'game', 'is', 'already', '100', '%', 'functional', '.']"
5647,I can't imagine them not being able to meet the Feb 05 deadline.,['i'],['imagine meet'],['them the feb deadline'],"['I', 'ca', ""n't"", 'imagine', 'them', 'not', 'being', 'able', 'to', 'meet', 'the', 'Feb', '05', 'deadline', '.']"
5648,Warm greetings to all in this GW community.,[''],[''],[''],"['Warm', 'greetings', 'to', 'all', 'in', 'this', 'GW', 'community', '.']"
5649,I am Lady Kingel and I hail from the United Legit Gaming Guilds of Guild Wars.,['i i'],['hail'],['lady kingel and'],"['I', 'am', 'Lady', 'Kingel', 'and', 'I', 'hail', 'from', 'the', 'United', 'Legit', 'Gaming', 'Guilds', 'of', 'Guild', 'Wars', '.']"
5650,We are a consortium of legit honorable guilds that was established in 1997 for DI and we are now adding GW to the list of games played.,['we that we'],['established adding played'],['a consortium of gw'],"['We', 'are', 'a', 'consortium', 'of', 'legit', 'honorable', 'guilds', 'that', 'was', 'established', 'in', '1997', 'for', 'DI', 'and', 'we', 'are', 'now', 'adding', 'GW', 'to', 'the', 'list', 'of', 'games', 'played', '.']"
5651,The alliance is a pretty straightforward one.,['the alliance'],[''],['a straightforward one'],"['The', 'alliance', 'is', 'a', 'pretty', 'straightforward', 'one', '.']"
5652,It was formed to allow many different guilds who were all strictly honorable to come together as a family and allow them many people to game with.,['it who many people'],['formed allow come allow game'],['many different guilds were them'],"['It', 'was', 'formed', 'to', 'allow', 'many', 'different', 'guilds', 'who', 'were', 'all', 'strictly', 'honorable', 'to', 'come', 'together', 'as', 'a', 'family', 'and', 'allow', 'them', 'many', 'people', 'to', 'game', 'with', '.']"
5653,There are no other requirements other than we ask that members greet each new member and each new alliance and also feel free to post in any of the forums.,['there we members'],['are ask greet feel post'],['no other requirements other each new member and alliance'],"['There', 'are', 'no', 'other', 'requirements', 'other', 'than', 'we', 'ask', 'that', 'members', 'greet', 'each', 'new', 'member', 'and', 'each', 'new', 'alliance', 'and', 'also', 'feel', 'free', 'to', 'post', 'in', 'any', 'of', 'the', 'forums', '.']"
5654,We are also a group who is looking for members for our own select guild called ULGG of GW...which is a part of the alliance with the same name.,['we who which'],['looking called'],['a group looking ulgg of a part of with'],"['We', 'are', 'also', 'a', 'group', 'who', 'is', 'looking', 'for', 'members', 'for', 'our', 'own', 'select', 'guild', 'called', 'ULGG', 'of', 'GW', '...', 'which', 'is', 'a', 'part', 'of', 'the', 'alliance', 'with', 'the', 'same', 'name', '.']"
5655,We play in all aspects of the game and we hand pick our members.,['we we'],['play pick'],['our members'],"['We', 'play', 'in', 'all', 'aspects', 'of', 'the', 'game', 'and', 'we', 'hand', 'pick', 'our', 'members', '.']"
5656,I would like to personally invite each of you to visit our website.,['i'],['like invite visit'],['each of our website'],"['I', 'would', 'like', 'to', 'personally', 'invite', 'each', 'of', 'you', 'to', 'visit', 'our', 'website', '.']"
5657,"You are individuals of quality, and in our alliance we seek quality of member over quantity of member.",['you we'],['seek'],['individuals of quality of'],"['You', 'are', 'individuals', 'of', 'quality', ',', 'and', 'in', 'our', 'alliance', 'we', 'seek', 'quality', 'of', 'member', 'over', 'quantity', 'of', 'member', '.']"
5658,"You will be asked to register, and then you should wander over to the Announce Your Arrival Section and present yourself.",['you you'],['asked register wander present'],['your arrival section yourself'],"['You', 'will', 'be', 'asked', 'to', 'register', ',', 'and', 'then', 'you', 'should', 'wander', 'over', 'to', 'the', 'Announce', 'Your', 'Arrival', 'Section', 'and', 'present', 'yourself', '.']"
5659,You will be greeted by many members of this wonderful family.,['you by members'],['greeted'],[''],"['You', 'will', 'be', 'greeted', 'by', 'many', 'members', 'of', 'this', 'wonderful', 'family', '.']"
5660,"I do hope to see you visiting us at the fire and we shall prepare a feast for you, as well.",['i you we'],['hope see visiting prepare'],['us a feast for you'],"['I', 'do', 'hope', 'to', 'see', 'you', 'visiting', 'us', 'at', 'the', 'fire', 'and', 'we', 'shall', 'prepare', 'a', 'feast', 'for', 'you', ',', 'as', 'well', '.']"
5661,"If you paste this in your browser, it will take you directly to our GW website.",['you it'],['paste take'],['this you'],"['If', 'you', 'paste', 'this', 'in', 'your', 'browser', ',', 'it', 'will', 'take', 'you', 'directly', 'to', 'our', 'GW', 'website', '.']"
5662,"I extend my hand to each of you in true friendship, and honor.",['i'],['extend'],['my hand'],"['I', 'extend', 'my', 'hand', 'to', 'each', 'of', 'you', 'in', 'true', 'friendship', ',', 'and', 'honor', '.']"
5663,Come and say hello...you will be warmly welcomed!,['you'],['come say welcomed'],[''],"['Come', 'and', 'say', 'hello', '...', 'you', 'will', 'be', 'warmly', 'welcomed', '!']"
5664,"We are currently moving to a new server, so we will be down for a while.",['we we'],['moving'],[''],"['We', 'are', 'currently', 'moving', 'to', 'a', 'new', 'server', ',', 'so', 'we', 'will', 'be', 'down', 'for', 'a', 'while', '.']"
5665,I will inform when we are up and running again.,['i we'],['inform running'],[''],"['I', 'will', 'inform', 'when', 'we', 'are', 'up', 'and', 'running', 'again', '.']"
5666,"I wish all happy holidays, and moreso, peace on earth.",['i'],['wish'],"['all happy holidays , and moreso']","['I', 'wish', 'all', 'happy', 'holidays', ',', 'and', 'moreso', ',', 'peace', 'on', 'earth', '.']"
5667,Kingel,[''],[''],[''],['Kingel']
5668,"Dear Judges, Lawyers, Policemen, Guards, Counselors, Taxpayers, et. al.,",[''],[''],[''],"['Dear', 'Judges', ',', 'Lawyers', ',', 'Policemen', ',', 'Guards', ',', 'Counselors', ',', 'Taxpayers', ',', 'et', '.', 'al', '.', ',']"
5669,We are here.,['we'],[''],[''],"['We', 'are', 'here', '.']"
5670,"Like it or not, for good or bad, we are here.",['we'],[''],[''],"['Like', 'it', 'or', 'not', ',', 'for', 'good', 'or', 'bad', ',', 'we', 'are', 'here', '.']"
5671,Who are we?,['we'],[''],['who'],"['Who', 'are', 'we', '?']"
5672,"We are the downtrodden and dispossesed, the self-torturing, the disenfranchised convicts, drug and alcohol addicts, the unemployed and unemployable.",['we'],['dispossesed disenfranchised'],"['the self - torturing , convicts']","['We', 'are', 'the', 'downtrodden', 'and', 'dispossesed', ',', 'the', 'self', '-', 'torturing', ',', 'the', 'disenfranchised', 'convicts', ',', 'drug', 'and', 'alcohol', 'addicts', ',', 'the', 'unemployed', 'and', 'unemployable', '.']"
5673,"We are the children of poverty, financial and spiritual.",['we'],[''],['the children of'],"['We', 'are', 'the', 'children', 'of', 'poverty', ',', 'financial', 'and', 'spiritual', '.']"
5674,"We have and will have children of our own, grandchildren too.",['we'],['have have'],"['children of , grandchildren too .']","['We', 'have', 'and', 'will', 'have', 'children', 'of', 'our', 'own', ',', 'grandchildren', 'too', '.']"
5675,"We are ex-cons, uninsured, homeless, of many colors and speaking many tongues.",['we'],['speaking'],['ex - many tongues'],"['We', 'are', 'ex', '-', 'cons', ',', 'uninsured', ',', 'homeless', ',', 'of', 'many', 'colors', 'and', 'speaking', 'many', 'tongues', '.']"
5676,We are the enemy in what has become a domestic war against ourselves.,['we what'],['become'],['the enemy in a domestic war against'],"['We', 'are', 'the', 'enemy', 'in', 'what', 'has', 'become', 'a', 'domestic', 'war', 'against', 'ourselves', '.']"
5677,And who are you?,['you'],[''],['who'],"['And', 'who', 'are', 'you', '?']"
5678,You who like the tough talk of Tough on Crime?,['who'],['like'],['the tough talk of on'],"['You', 'who', 'like', 'the', 'tough', 'talk', 'of', 'Tough', 'on', 'Crime', '?']"
5679,You who watch as budgets are cut in education and health care while you militarize a police force?,['you who watch you'],['watch cut militarize'],['a police force'],"['You', 'who', 'watch', 'as', 'budgets', 'are', 'cut', 'in', 'education', 'and', 'health', 'care', 'while', 'you', 'militarize', 'a', 'police', 'force', '?']"
5680,"Bullet-proof vests, automatic weapons, helicopters, tanks, robots ... the testosterone is oozing through the streets, more prisons, longer sentences, tighten the belt, spartan conditions, task forces, gang units, gun courts.","['the testosterone more prisons , sentences ,']",['oozing tighten'],"['the belt , conditions']","['Bullet', '-', 'proof', 'vests', ',', 'automatic', 'weapons', ',', 'helicopters', ',', 'tanks', ',', 'robots', '...', 'the', 'testosterone', 'is', 'oozing', 'through', 'the', 'streets', ',', 'more', 'prisons', ',', 'longer', 'sentences', ',', 'tighten', 'the', 'belt', ',', 'spartan', 'conditions', ',', 'task', 'forces', ',', 'gang', 'units', ',', 'gun', 'courts', '.']"
5681,And what is there to show for it?,[''],['show'],['what'],"['And', 'what', 'is', 'there', 'to', 'show', 'for', 'it', '?']"
5682,"Unemployent stays low because half the population oversees those ""out of the workforce"", the dregs, the rabble, the enemy?",['unemployent half the population'],['stays oversees'],"['those "" the dregs , rabble']","['Unemployent', 'stays', 'low', 'because', 'half', 'the', 'population', 'oversees', 'those', '""', 'out', 'of', 'the', 'workforce', '""', ',', 'the', 'dregs', ',', 'the', 'rabble', ',', 'the', 'enemy', '?']"
5683,Please tell me there is a deeper reason.,['there'],['tell is'],['me a deeper reason'],"['Please', 'tell', 'me', 'there', 'is', 'a', 'deeper', 'reason', '.']"
5684,Do you feel safer?,['you'],['feel'],[''],"['Do', 'you', 'feel', 'safer', '?']"
5685,More humane?,[''],[''],[''],"['More', 'humane', '?']"
5686,"More like a cohesive society with a shared sense of purpose, who can identify Us and Them?",['who'],['shared identify'],['us and them'],"['More', 'like', 'a', 'cohesive', 'society', 'with', 'a', 'shared', 'sense', 'of', 'purpose', ',', 'who', 'can', 'identify', 'Us', 'and', 'Them', '?']"
5687,Do you live in a gated community or gentrified neighborhood?,['you'],['live gated'],[''],"['Do', 'you', 'live', 'in', 'a', 'gated', 'community', 'or', 'gentrified', 'neighborhood', '?']"
5688,"By the way, have you read the Declaration of Independence and US Constitution - or do you only know the first phrases?",['you you'],['read know'],['the declaration of the first phrases'],"['By', 'the', 'way', ',', 'have', 'you', 'read', 'the', 'Declaration', 'of', 'Independence', 'and', 'US', 'Constitution', '-', 'or', 'do', 'you', 'only', 'know', 'the', 'first', 'phrases', '?']"
5689,It's about time we got together.,['it we'],['got'],['time got'],"['It', ""'s"", 'about', 'time', 'we', 'got', 'together', '.']"
5690,"Please know that I have yet to meet a convict who wants their child to be a thief, an addict, a dealer, a prostitute, or a violent individual.",['i who their child'],['know have meet wants'],"['a convict wants a thief , addict']","['Please', 'know', 'that', 'I', 'have', 'yet', 'to', 'meet', 'a', 'convict', 'who', 'wants', 'their', 'child', 'to', 'be', 'a', 'thief', ',', 'an', 'addict', ',', 'a', 'dealer', ',', 'a', 'prostitute', ',', 'or', 'a', 'violent', 'individual', '.']"
5691,"Most of us still have hope for ourselves even when stuck in the darkest dilemmas, ruts and catch-22s.",['most of'],['have stuck'],['hope for ruts and catch-22s'],"['Most', 'of', 'us', 'still', 'have', 'hope', 'for', 'ourselves', 'even', 'when', 'stuck', 'in', 'the', 'darkest', 'dilemmas', ',', 'ruts', 'and', 'catch-22s', '.']"
5692,Most of us believe in crafting laws and instilling order.,['most of'],['believe crafting instilling'],['laws order'],"['Most', 'of', 'us', 'believe', 'in', 'crafting', 'laws', 'and', 'instilling', 'order', '.']"
5693,"Many of us have burrowed beneath the surface to find a spiritual sense of being, an understanding force at least as powerful as those we succumbed to, and many of use wouldn't escape if you opened the front door.",['many of we many of you'],['burrowed find understanding succumbed escape opened'],['a spiritual sense of force the front door'],"['Many', 'of', 'us', 'have', 'burrowed', 'beneath', 'the', 'surface', 'to', 'find', 'a', 'spiritual', 'sense', 'of', 'being', ',', 'an', 'understanding', 'force', 'at', 'least', 'as', 'powerful', 'as', 'those', 'we', 'succumbed', 'to', ',', 'and', 'many', 'of', 'use', 'would', ""n't"", 'escape', 'if', 'you', 'opened', 'the', 'front', 'door', '.']"
5694,"Did you know that approximately 10 million Americans are either incarcerated, on probation, on parole or once were in those categories?",['you million americans'],['know incarcerated'],[''],"['Did', 'you', 'know', 'that', 'approximately', '10', 'million', 'Americans', 'are', 'either', 'incarcerated', ',', 'on', 'probation', ',', 'on', 'parole', 'or', 'once', 'were', 'in', 'those', 'categories', '?']"
5695,"Each of those 10 million have families, friends, neighbors ... and so closer and closer does the We interface with the You.",['each of the we'],['have interface'],"['families , friends ...']","['Each', 'of', 'those', '10', 'million', 'have', 'families', ',', 'friends', ',', 'neighbors', '...', 'and', 'so', 'closer', 'and', 'closer', 'does', 'the', 'We', 'interface', 'with', 'the', 'You', '.']"
5696,Don't you think it's time we talked?,['you it we'],['think talked'],['time talked'],"['Do', ""n't"", 'you', 'think', 'it', ""'s"", 'time', 'we', 'talked', '?']"
5697,Are you ready?,['you'],[''],[''],"['Are', 'you', 'ready', '?']"
5698,Can you accept that the road we are travelling points toward a grim and painful future?,['you we'],['accept travelling'],['that the road travelling points toward'],"['Can', 'you', 'accept', 'that', 'the', 'road', 'we', 'are', 'travelling', 'points', 'toward', 'a', 'grim', 'and', 'painful', 'future', '?']"
5699,Do you have the heart to face monumental failures while bravely struggling beyond where we are now?,['you we'],['have face struggling'],['the heart face monumental failures'],"['Do', 'you', 'have', 'the', 'heart', 'to', 'face', 'monumental', 'failures', 'while', 'bravely', 'struggling', 'beyond', 'where', 'we', 'are', 'now', '?']"
5700,"I know that some of you are, and that some of us are, and this is what gives me hope.",['i some of some of this what'],['know gives'],['me hope'],"['I', 'know', 'that', 'some', 'of', 'you', 'are', ',', 'and', 'that', 'some', 'of', 'us', 'are', ',', 'and', 'this', 'is', 'what', 'gives', 'me', 'hope', '.']"
5701,You need our insights just as we need your structure.,['you we'],['need need'],['our insights your structure'],"['You', 'need', 'our', 'insights', 'just', 'as', 'we', 'need', 'your', 'structure', '.']"
5702,"It is never over, especially when a real solution, a real treatment for our sickness, is yet to begin.","['it a real solution , treatment ,']",['begin'],[''],"['It', 'is', 'never', 'over', ',', 'especially', 'when', 'a', 'real', 'solution', ',', 'a', 'real', 'treatment', 'for', 'our', 'sickness', ',', 'is', 'yet', 'to', 'begin', '.']"
5703,"In Solidarity,",[''],[''],[''],"['In', 'Solidarity', ',']"
5704,"Bruce Reilly (a.k.a Bruha) P.O.Box 8274 Cranston, RI 02920 USA",[''],[''],[''],"['Bruce', 'Reilly', '(', 'a.k.a', 'Bruha', ')', 'P.O.Box', '8274', 'Cranston', ',', 'RI', '02920', 'USA']"
5705,P.S. - I am trying to conceptualize an effective guerilla media campaign to promote this cause.,['i'],['trying conceptualize promote'],['an effective media campaign this cause'],"['P.S.', '-', 'I', 'am', 'trying', 'to', 'conceptualize', 'an', 'effective', 'guerilla', 'media', 'campaign', 'to', 'promote', 'this', 'cause', '.']"
5706,Ideas are welcome.,['ideas'],[''],[''],"['Ideas', 'are', 'welcome', '.']"
5707,Collaboration is prayed.,['collaboration'],['prayed'],[''],"['Collaboration', 'is', 'prayed', '.']"
5708,"an annotated text of the bill, read the article by D. Singmaster in ""The Mathematical Intelligencer"" v7 #2, pp 69-72.","['an annotated text of ,']",['read'],['the article'],"['an', 'annotated', 'text', 'of', 'the', 'bill', ',', 'read', 'the', 'article', 'by', 'D.', 'Singmaster', 'in', '""', 'The', 'Mathematical', 'Intelligencer', '""', 'v7', '#', '2', ',', 'pp', '69', '-', '72', '.']"
5709,--------------------------------------------------------------------------- -----,[''],[''],[''],"['---------------------------------------------------------------------------', '-----']"
5710,"Subject: Where can I get the necessary software to get a ""smart"" mail system running on my machine that will take advantage of the postings in comp.mail.maps? (E.g., pathalias, smail, etc.)",['i that'],['get get running take'],"['the necessary software a "" smart "" mail system running take advantage']","['Subject', ':', 'Where', 'can', 'I', 'get', 'the', 'necessary', 'software', 'to', 'get', 'a', '""', 'smart', '""', 'mail', 'system', 'running', 'on', 'my', 'machine', 'that', 'will', 'take', 'advantage', 'of', 'the', 'postings', 'in', 'comp.mail.maps', '?', '(', 'E.g.', ',', 'pathalias', ',', 'smail', ',', 'etc', '.', ')']"
5711,There are a couple of packages available through the supporters of the comp.sources.unix archives.,['there'],['are'],['a couple of available'],"['There', 'are', 'a', 'couple', 'of', 'packages', 'available', 'through', 'the', 'supporters', 'of', 'the', 'comp.sources.unix', 'archives', '.']"
5712,"If sites next to you don't have what you want, contact your nearest comp.sources.unix archive, or the moderator.",['sites next you'],['have want contact'],"['what your nearest comp.sources.unix archive , or moderator']","['If', 'sites', 'next', 'to', 'you', 'do', ""n't"", 'have', 'what', 'you', 'want', ',', 'contact', 'your', 'nearest', 'comp.sources.unix', 'archive', ',', 'or', 'the', 'moderator', '.']"
5713,"Information on archive sites, and indices of comp.sources.unix back issues are posted regularly in comp.sources.unix and comp.sources.d.","['information on , and indices back issues']",['posted'],[''],"['Information', 'on', 'archive', 'sites', ',', 'and', 'indices', 'of', 'comp.sources.unix', 'back', 'issues', 'are', 'posted', 'regularly', 'in', 'comp.sources.unix', 'and', 'comp.sources.d', '.']"
5714,--------------------------------------------------------------------------- -----,[''],[''],[''],"['---------------------------------------------------------------------------', '-----']"
5715,"Subject: What is ""food for the NSA line-eater""?",[''],[''],['what food for'],"['Subject', ':', 'What', 'is', '""', 'food', 'for', 'the', 'NSA', 'line', '-', 'eater', '""', '?']"
5716,This refers to the alleged scanning of all Usenet traffic by the National Security Agency (and possibly other intelligence organizations) for interesting keywords.,['this'],['refers alleged'],[''],"['This', 'refers', 'to', 'the', 'alleged', 'scanning', 'of', 'all', 'Usenet', 'traffic', 'by', 'the', 'National', 'Security', 'Agency', '(', 'and', 'possibly', 'other', 'intelligence', 'organizations', ')', 'for', 'interesting', 'keywords', '.']"
5717,"The ""food"" is believed to contain some of those","['the "" food ""']",['believed contain'],['some of'],"['The', '""', 'food', '""', 'is', 'believed', 'to', 'contain', 'some', 'of', 'those']"
5718,"Email: ""Peanutjake""<peanutjak...@usa.com>",[''],"['peanutjake""<peanutjak...@usa.com']",[''],"['Email', ':', '""', 'Peanutjake""<peanutjak...@usa.com', '>']"
5719,Groups: misc.consumers,[''],[''],[''],"['Groups', ':', 'misc.consumers']"
5720,Subject: IMMEDIATE ATTENTION NEEDED:,[''],[''],[''],"['Subject', ':', 'IMMEDIATE', 'ATTENTION', 'NEEDED', ':']"
5721,HIGHLY CONFIDENTIAL URGENT ASSISTANCE - FROM USA,['highly'],['confidential'],['urgent assistance'],"['HIGHLY', 'CONFIDENTIAL', 'URGENT', 'ASSISTANCE', '-', 'FROM', 'USA']"
5722,FROM: GEORGE WALKER BUSH 202.456.1414 / 202.456.1111 FAX: 202.456.2461,[''],[''],[''],"['FROM', ':', 'GEORGE', 'WALKER', 'BUSH', '202.456.1414', '/', '202.456.1111', 'FAX', ':', '202.456.2461']"
5723,"Dear Sir / Madam,",[''],[''],[''],"['Dear', 'Sir', '/', 'Madam', ',']"
5724,"I am GEORGE WALKER BUSH, son of the former president of the United States of America George Herbert Walker Bush, and currently serving as President of the United States of America.",['i'],['serving'],"['george walker bush , son ,']","['I', 'am', 'GEORGE', 'WALKER', 'BUSH', ',', 'son', 'of', 'the', 'former', 'president', 'of', 'the', 'United', 'States', 'of', 'America', 'George', 'Herbert', 'Walker', 'Bush', ',', 'and', 'currently', 'serving', 'as', 'President', 'of', 'the', 'United', 'States', 'of', 'America', '.']"
5725,This letter might surprise you because we have not met neither in person nor by correspondence.,['this letter we'],['surprise met'],['you'],"['This', 'letter', 'might', 'surprise', 'you', 'because', 'we', 'have', 'not', 'met', 'neither', 'in', 'person', 'nor', 'by', 'correspondence', '.']"
5726,"I came to know of you in my search for a reliable and reputable person to handle a very confidential business transaction, which involves the transfer of a huge sum of money to an account requiring maximum confidence.",['i which'],['came know handle involves requiring'],"['a confidential business transaction , involves the transfer of maximum confidence']","['I', 'came', 'to', 'know', 'of', 'you', 'in', 'my', 'search', 'for', 'a', 'reliable', 'and', 'reputable', 'person', 'to', 'handle', 'a', 'very', 'confidential', 'business', 'transaction', ',', 'which', 'involves', 'the', 'transfer', 'of', 'a', 'huge', 'sum', 'of', 'money', 'to', 'an', 'account', 'requiring', 'maximum', 'confidence', '.']"
5727,I am writing you in absolute confidence primarily to seek your assistance in acquiring oil funds that are presently trapped in the republic of Iraq.,['i that'],['writing seek acquiring trapped'],['you your assistance in oil funds'],"['I', 'am', 'writing', 'you', 'in', 'absolute', 'confidence', 'primarily', 'to', 'seek', 'your', 'assistance', 'in', 'acquiring', 'oil', 'funds', 'that', 'are', 'presently', 'trapped', 'in', 'the', 'republic', 'of', 'Iraq', '.']"
5728,"My partners and I solicit your assistance in completing a transaction begun by my father, who has long been actively engaged in the extraction of petroleum in the United States of America, and bravely served his country as director of the United States Central Intelligence Agency.",['my partners and i by father who'],['solicit completing begun engaged served'],['your assistance a transaction begun his country'],"['My', 'partners', 'and', 'I', 'solicit', 'your', 'assistance', 'in', 'completing', 'a', 'transaction', 'begun', 'by', 'my', 'father', ',', 'who', 'has', 'long', 'been', 'actively', 'engaged', 'in', 'the', 'extraction', 'of', 'petroleum', 'in', 'the', 'United', 'States', 'of', 'America', ',', 'and', 'bravely', 'served', 'his', 'country', 'as', 'director', 'of', 'the', 'United', 'States', 'Central', 'Intelligence', 'Agency', '.']"
5729,"In the decade of the nineteen-eighties, my father, then vice-president of the United States of America, sought to work with the good offices of the President of the Republic of Iraq to regain lost oil revenue sources in the neighboring Islamic republic of Iran.",[''],['sought work regain lost neighboring'],['lost revenue sources in'],"['In', 'the', 'decade', 'of', 'the', 'nineteen', '-', 'eighties', ',', 'my', 'father', ',', 'then', 'vice', '-', 'president', 'of', 'the', 'United', 'States', 'of', 'America', ',', 'sought', 'to', 'work', 'with', 'the', 'good', 'offices', 'of', 'the', 'President', 'of', 'the', 'Republic', 'of', 'Iraq', 'to', 'regain', 'lost', 'oil', 'revenue', 'sources', 'in', 'the', 'neighboring', 'Islamic', 'republic', 'of', 'Iran', '.']"
5730,"This unsuccessful venture was soon followed by a falling-out with his Iraqi partner, who sought to acquire additional oil revenue sources in the neighboring emirate of Kuwait, a wholly-owned U.S.-British subsidiary.",['this unsuccessful venture by out who'],['followed falling sought acquire owned'],['additional revenue sources'],"['This', 'unsuccessful', 'venture', 'was', 'soon', 'followed', 'by', 'a', 'falling', '-', 'out', 'with', 'his', 'Iraqi', 'partner', ',', 'who', 'sought', 'to', 'acquire', 'additional', 'oil', 'revenue', 'sources', 'in', 'the', 'neighboring', 'emirate', 'of', 'Kuwait', ',', 'a', 'wholly', '-', 'owned', 'U.S.-British', 'subsidiary', '.']"
5731,"My father re-secured the petroleum assets of Kuwait in 1991 at a cost of sixty-one billion U.S. dollars ($61,000,000,000).",['my father'],['re - secured'],['the petroleum assets of'],"['My', 'father', 're', '-', 'secured', 'the', 'petroleum', 'assets', 'of', 'Kuwait', 'in', '1991', 'at', 'a', 'cost', 'of', 'sixty', '-', 'one', 'billion', 'U.S.', 'dollars', '(', '$', '61,000,000,000', ')', '.']"
5732,"Out of that cost, thirty-six billion dollars ($36,000,000,000) were supplied by King Hussein, Kingdom of Saudi Arabia and other Persian Gulf monarchies, and sixteen billion dollars ($16,000,000,000) by German and Japanese partners.","['out , billion dollars ( 36,000,000,000 ) by hussein by partners']",['supplied'],[''],"['Out', 'of', 'that', 'cost', ',', 'thirty', '-', 'six', 'billion', 'dollars', '(', '$', '36,000,000,000', ')', 'were', 'supplied', 'by', 'King', 'Hussein', ',', 'Kingdom', 'of', 'Saudi', 'Arabia', 'and', 'other', 'Persian', 'Gulf', 'monarchies', ',', 'and', 'sixteen', 'billion', 'dollars', '(', '$', '16,000,000,000', ')', 'by', 'German', 'and', 'Japanese', 'partners', '.']"
5733,But my father's former Iraqi business partner remained in control of the republic of Iraq and its petroleum reserves.,['father former iraqi business partner'],['remained'],[''],"['But', 'my', 'father', ""'s"", 'former', 'Iraqi', 'business', 'partner', 'remained', 'in', 'control', 'of', 'the', 'republic', 'of', 'Iraq', 'and', 'its', 'petroleum', 'reserves', '.']"
5734,"My family is calling for your urgent assistance in funding the removal of the President of the Republic of Iraq and acquiring the petroleum assets of his country, as compensation for the costs of removing him from power.",['my family'],['calling funding acquiring removing'],['the removal of the petroleum assets of him'],"['My', 'family', 'is', 'calling', 'for', 'your', 'urgent', 'assistance', 'in', 'funding', 'the', 'removal', 'of', 'the', 'President', 'of', 'the', 'Republic', 'of', 'Iraq', 'and', 'acquiring', 'the', 'petroleum', 'assets', 'of', 'his', 'country', ',', 'as', 'compensation', 'for', 'the', 'costs', 'of', 'removing', 'him', 'from', 'power', '.']"
